"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_36"," 79","16S_1","Beijerinckiaceae","  45404",4521843.65709084," 3086076","  6140321","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","45404",NA,NA,"45404","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_37"," 76","16S_1","Methylocystis sp.","1911079",2784004.66666667," 2490434","  6622440","OK","reference_mean","1911079","1911079","133","31993","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_38"," 69","16S_1","type II methanotroph metano-II"," 120308",4528673.34540464," 2490977","  7604318","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","120308","120308",NA,"31993","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_39"," 64","16S_1","Syntrophobacter wolinii","  29527",4792482.71626262," 3394103","  6891582","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29527","29527","29526","213465","213462","3024408","200940",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_40"," 54","16S_1","Acidobacteriaceae bacterium K5","1078887",5348487.95550723," 4728858","  7693984","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1078887","1078887",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_41"," 50","16S_1","Sideroxydans"," 314343",3301538.83424299," 2186454","  4782027","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","314343",NA,"314343","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_42"," 44","16S_1","Rhodopila globiformis","   1071",7247838," 4970757","  7586823","OK","reference_mean","1071","1071","1070","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_43"," 43","16S_1","Telmatobacter bradus"," 474953",5829818.32320584," 4462486","  7952467","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","474953","474953","1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_44"," 36","16S_1","Acidobacteriaceae"," 204434",5348487.95550723," 3326144","  8794837","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","204434",NA,NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_45"," 30","16S_1","bacterium Ellin5058"," 234245",5348487.95550723," 4098751","  7312591","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","234245","234245",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_46"," 28","16S_1","Acidisphaera","  50714",5690168.5001532," 4615220","  7168896","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","50714",NA,"50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_47"," 28","16S_1","Terracidiphilus gabretensis","1577687",5345618," 4098751","  7312591","OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_48"," 27","16S_1","Thermomonosporaceae bacterium YE4-D4-16-CH2"," 795107",7893691.16861262," 5785864"," 12008127","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","795107","795107",NA,"2012","85012","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_49"," 26","16S_1","bacterium Ellin335"," 204678",4581725.00537182," 2211871","  9501556","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","204678","204678",NA,"1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_50"," 25","16S_1","Rhizomicrobium sp. URHD0049","1703066",4503218.26874712," 2001340","  8190573","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1703066","1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_51"," 18","16S_1","Blastochloris","  59282",3846233.39459484," 1763076","  7958732","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","59282",NA,"59282","2831090","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_52"," 17","16S_1","Steroidobacter sp.","1978227",4827295.14285714," 4341327"," 10461899","OK","reference_mean","1978227","1978227","469322","2689614","3060226","1236","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_53"," 16","16S_1","unclassified Bradyrhizobium","2631580",8098294.80631165," 6076178"," 10251071","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2631580",NA,"374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_54"," 14","16S_1","Aciditerrimonas sp.","1872117",2796758.47755477," 1890407","  4123940","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1872117","1872117","1042325","84994","84993","84992","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_55"," 13","16S_1","Flavitalea sp.","1909289",3975566.5," 5670077","  9943460","OK","reference_mean","1909289","1909289","1210116","563835","1853229","1853228","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA
"query_56"," 13","16S_1","Spirochaeta sp.","  28185",2788768.16666667," 2703514","  4370316","OK","reference_mean","28185","28185","146","137","136","203692","203691",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_57"," 12","16S_1","unclassified Telmatobacter","2634852",5829818.32320584," 4462486","  7952467","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2634852",NA,"1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_58"," 12","16S_1","Acidobacteriaceae bacterium LWQ3","1387378",5348487.95550723," 2964453","  8696299","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1387378","1387378",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_59","  9","16S_1","Rhodoplanes","  29407",4300568.97382752," 3305898","  5695258","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29407",NA,"29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_60","  9","16S_1","Solimicrobium silvestre","2099400",5243257," 3685066","  6672648","OK","reference_mean","2099400","2099400","2249306","75682","80840","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_61"," 76","ITS_3","Psathyrella marquana","2259056",36090107.8728236,"16615068"," 54613097","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2259056","2259056","71729","184208","5338","155619","5204","33154","2759","1","452333","2982305","5302","451864","4751",NA,NA
"query_62"," 27","ITS_3","Saitozyma ninhbinhensis"," 388101",28684680.4728591,"32683876"," 55001797","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","388101","388101","1890244","1890237","5234","155616","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_63"," 21","ITS_3","Mucor hiemalis","  64493",41915281.5477227,"22327876"," 72894166","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","64493","64493","4830","34489","4827","2212703","1913637","33154","2759","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_64"," 19","ITS_3","Apiotrichum dulcitum","  82515",24989403.0127529,"16703755"," 39290916","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","82515","82515","105983","1759442","1851469","155616","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_65"," 18","ITS_3","Hebeloma crustuliniforme","  34454",28684680.4728591,"22877330"," 42849858","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","34454","34454","34453","80649","5338","155619","5204","33154","2759","1","452333","2982305","5302","451864","4751",NA,NA
"query_66"," 13","ITS_3","Didymellaceae"," 683158",35557722.0119225,"27928825"," 47604819","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","683158",NA,NA,"683158","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_67"," 12","ITS_3","Cladosporium","   5498",28684680.4728591,"24878353"," 39962611","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","5498",NA,"5498","452563","2726946","147541","4890","33154","2759","1","451867",NA,"147538","451864","4751",NA,NA
"query_68"," 11","ITS_3","Fusarium oxysporum","   5507",52804881.8126685,"25524968"," 84227140","OK","reference_mean","5507","5507","5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","171631",NA
"query_69"," 11","ITS_3","Ascobolus stercorarius"," 255055",28684680.4728591,"23212566"," 43719008","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","255055","255055","5190","5189","5185","147549","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_70"," 10","ITS_3","Chaetomiaceae sp.","1756124",33203373.6149319,"23933610"," 53573402","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1756124","1756124",NA,"35718","5139","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_71"," 10","ITS_3","Lectera colletotrichoides","1208925",36423500.4593698,"20093923"," 53526399","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1208925","1208925","1208924","1033978","1028384","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_72","  9","ITS_3","Mucor sp.","1715236",41915281.5477227,"22327876"," 72894166","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1715236","1715236","4830","34489","4827","2212703","1913637","33154","2759","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_73","  9","ITS_3","Fusarium tricinctum species complex"," 679429",45056350.5449236,"25524968"," 84227140","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","679429",NA,"5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","679429",NA
"query_74","  9","ITS_3","Linnemannia elongata"," 310910",48100048,"26574929"," 64107378","OK","reference_mean","310910","310910","2779861","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_75","  8","ITS_3","Trichoderma sp.","1715253",37322635.7123003,"21204438"," 77299414","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1715253","1715253","5543","5129","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_76","  8","ITS_3","Gaeumannomyces","  29849",40936369.3585881,"22268665"," 74994065","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29849",NA,"29849","81093","639021","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_77","  7","ITS_3","Mortierella sp.","1715235",40053451.2807117,"29192005"," 67961035","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1715235","1715235","4855","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
