"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","estimated_genome_size_confidence_interval","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subphylum","suborder","subclass","subkingdom","kingdom","species group","section","confidence_interval_lower","confidence_interval_upper"
"query...36"," 79","16S_1","Beijerinckiaceae","  45404",6268877.36246068,"3574900;10082817","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","45404",NA,NA,"45404","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3574900.0"," 10082817"
"query...37"," 76","16S_1","Methylocystis sp.","1911079",3841819,"1198.82643347567","OK","reference_mean","1911079","1911079","133","31993","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2087041.1"," 10791300"
"query...38"," 69","16S_1","type II methanotroph metano-II"," 120308",6268877.36246068,"3471396.4;9755078","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","120308","120308",NA,"31993","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3471396.4","  9755078"
"query...39"," 64","16S_1","Syntrophobacter wolinii","  29527",3090811.36682166,"1297018.3;8082781","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29527","29527","29526","213465","213462","28221","1224",NA,"2","1","68525",NA,NA,NA,NA,NA,NA," 1297018.3","  8082781"
"query...40"," 54","16S_1","Acidobacteriaceae bacterium K5","1078887",6268877.36246068,"3610845.8;10944590","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1078887","1078887",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3610845.8"," 10944590"
"query...41"," 50","16S_1","Sideroxydans"," 314343",1670737.85693658,"762563.7;3944523","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","314343",NA,"314343","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,"  762563.7","  3944523"
"query...42"," 44","16S_1","Rhodopila globiformis","   1071",7247838,NA,"OK","reference_mean","1071","1071","1070","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2936065.2"," 15307636"
"query...43"," 43","16S_1","Telmatobacter bradus"," 474953",6268877.36246068,"3747342;10189578","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","474953","474953","1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3747342.0"," 10189578"
"query...44"," 36","16S_1","Acidobacteriaceae"," 204434",6268877.36246068,"3416740.2;13093610","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","204434",NA,NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3416740.2"," 13093610"
"query...45"," 30","16S_1","bacterium Ellin5058"," 234245",6268877.36246068,"3261993.9;11591807","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","234245","234245",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3261993.9"," 11591807"
