"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_1284","ASV_1284","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1291","ASV_1291","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1292","ASV_1292","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_1293","ASV_1293","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia"
"ASV_1294","ASV_1294","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_1306","ASV_1306","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisphaera"
"ASV_1307","ASV_1307","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_1312","ASV_1312","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_1318","ASV_1318","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ASV_1319","ASV_1319","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_1320","ASV_1320","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter"
"ASV_1321","ASV_1321","Bacteria","Actinobacteria","Actinobacteria","Nakamurellales","Nakamurellaceae","Nakamurella"
"ASV_1324","ASV_1324","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_1325","ASV_1325","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1326","ASV_1326","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_1338","ASV_1338","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1339","ASV_1339","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",NA
"ASV_1344","ASV_1344","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV_1345","ASV_1345","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA
"ASV_1346","ASV_1346","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"ASV_1348","ASV_1348","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_1349","ASV_1349","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1360","ASV_1360","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
