"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_2129","ASV_2129","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Aquihabitans"
"ASV_2132","ASV_2132","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ASV_2133","ASV_2133","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Blastococcus"
"ASV_2134","ASV_2134","Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA
"ASV_2135","ASV_2135","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Ilyomonas"
"ASV_2140","ASV_2140","Bacteria","Acidobacteria","Acidobacteria_Gp1","Terriglobus",NA,NA
"ASV_2142","ASV_2142","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_2143","ASV_2143","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV_2144","ASV_2144","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV_2145","ASV_2145","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV_2146","ASV_2146","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV_2149","ASV_2149","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA
"ASV_2150","ASV_2150","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Motilibacteraceae","Motilibacter"
"ASV_2151","ASV_2151","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix"
"ASV_2154","ASV_2154","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Rurimicrobium"
"ASV_2155","ASV_2155","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_2156","ASV_2156","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_2159","ASV_2159","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter"
"ASV_2160","ASV_2160","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2166","ASV_2166","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ASV_2167","ASV_2167","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_2170","ASV_2170","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"ASV_2173","ASV_2173","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_2175","ASV_2175","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA
"ASV_2176","ASV_2176","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Povalibacter"
"ASV_2177","ASV_2177","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"ASV_2178","ASV_2178","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2179","ASV_2179","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"ASV_2180","ASV_2180","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_2182","ASV_2182","Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6",NA,NA
"ASV_2184","ASV_2184","Bacteria","Acidobacteria","Acidobacteria_Gp3","Gp3",NA,NA
"ASV_2185","ASV_2185","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ASV_2186","ASV_2186","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Mogibacterium"
"ASV_2187","ASV_2187","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_2189","ASV_2189","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Rhodoplanes"
"ASV_2190","ASV_2190","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_2191","ASV_2191","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_2194","ASV_2194","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_2196","ASV_2196","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2199","ASV_2199","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavitalea"
"ASV_2200","ASV_2200","Bacteria","Acidobacteria","Acidobacteria_Gp16","Gp16",NA,NA
"ASV_2202","ASV_2202","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_2203","ASV_2203","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2206","ASV_2206","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA
"ASV_2209","ASV_2209","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2210","ASV_2210","Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA
"ASV_2211","ASV_2211","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"ASV_2213","ASV_2213","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus"
"ASV_2214","ASV_2214","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Geminicoccaceae","Geminicoccus"
"ASV_2215","ASV_2215","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2216","ASV_2216","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Proteiniclasticum"
"ASV_2218","ASV_2218","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"ASV_2220","ASV_2220","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ASV_2221","ASV_2221","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma"
"ASV_2222","ASV_2222","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"ASV_2223","ASV_2223","Bacteria","Acidobacteria","Acidobacteria_Gp16","Gp16",NA,NA
"ASV_2224","ASV_2224","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"ASV_2225","ASV_2225","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA
"ASV_2226","ASV_2226","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Mediterranea"
"ASV_2228","ASV_2228","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum"
"ASV_2229","ASV_2229","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Nitrolancea"
"ASV_2231","ASV_2231","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_2233","ASV_2233","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Actinomarinicola"
"ASV_2236","ASV_2236","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_2237","ASV_2237","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ASV_2238","ASV_2238","Bacteria","Proteobacteria","Gammaproteobacteria","Immundisolibacterales","Immundisolibacteraceae","Immundisolibacter"
"ASV_2240","ASV_2240","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Nitrolancea"
"ASV_2242","ASV_2242","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
"ASV_2244","ASV_2244","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA
"ASV_2245","ASV_2245","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera"
"ASV_2246","ASV_2246","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA
"ASV_2248","ASV_2248","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales",NA,NA
"ASV_2250","ASV_2250","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hespellia"
"ASV_2251","ASV_2251","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"ASV_2252","ASV_2252","Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6",NA,NA
"ASV_2255","ASV_2255","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_2257","ASV_2257","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_2258","ASV_2258","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","Thermoactinomyces"
"ASV_2260","ASV_2260","Bacteria","candidate_division_WPS-1",NA,NA,NA,NA
"ASV_2262","ASV_2262","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_2264","ASV_2264","Bacteria","Candidatus_Saccharibacteria",NA,NA,NA,NA
"ASV_2265","ASV_2265","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas"
"ASV_2267","ASV_2267","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"ASV_2268","ASV_2268","Bacteria","Actinobacteria",NA,NA,NA,NA
"ASV_2269","ASV_2269","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_2271","ASV_2271","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_2273","ASV_2273","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_2274","ASV_2274","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA
"ASV_2276","ASV_2276","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA
"ASV_2277","ASV_2277","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_2283","ASV_2283","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV_2286","ASV_2286","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA
"ASV_2287","ASV_2287","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_2288","ASV_2288","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV_2289","ASV_2289","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma"
"ASV_2290","ASV_2290","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus"
"ASV_2292","ASV_2292","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA
"ASV_2293","ASV_2293","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV_2294","ASV_2294","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"ASV_2295","ASV_2295","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
"ASV_2297","ASV_2297","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_2299","ASV_2299","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga"
"ASV_2300","ASV_2300","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_2301","ASV_2301","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_2302","ASV_2302","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ASV_2303","ASV_2303","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV_2304","ASV_2304","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_2305","ASV_2305","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
