"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_57"," 12","16S_1","unclassified Telmatobacter","2634852",5897478.92324191,3795945.55783373,8770963.01667148,"OK","bayesian Bacteria","2634852",NA,"1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_58"," 12","16S_1","Acidobacteriaceae bacterium LWQ3","1387378",5429023.22296404,2884430.75596423,9003095.64269588,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1387378","1387378",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_59","  9","16S_1","Rhodoplanes","  29407",4347445.3190275,3237856.29188032,5880762.34922624,"OK","bayesian Bacteria","29407",NA,"29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_60","  9","16S_1","Solimicrobium silvestre","2099400",5243257,NA,NA,"OK","reference_mean","2099400","2099400","2249306","75682","80840","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_61"," 76","ITS_3","Psathyrella marquana","2259056",41867785.3174526,23376442.9489751,72585635.7750512,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2259056","2259056","71729","184208","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_62"," 27","ITS_3","Saitozyma ninhbinhensis"," 388101",23132973.0460329,10928333.1513341,44999410.4283347,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","388101","388101","1890244","1890237","5234","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_63"," 21","ITS_3","Mucor hiemalis","  64493",41740519.2578382,26988976.2867457,57857805.4374806,"OK","bayesian Eukaryota","64493","64493","4830","34489","4827","2212703","1913637","2759","33154","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_64"," 19","ITS_3","Apiotrichum dulcitum","  82515",25186466.3865519,18121447.6237353,33963602.2976419,"OK","bayesian Eukaryota","82515","82515","105983","1759442","1851469","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_65"," 18","ITS_3","Hebeloma crustuliniforme","  34454",48796370.5675186,24825987.8091593,89452863.5910466,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","34454","34454","34453","80649","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_66"," 13","ITS_3","Didymellaceae"," 683158",36981350.1627996,22791377.9859323,57773877.3157493,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","683158",NA,NA,"683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_67"," 12","ITS_3","Cladosporium","   5498",37961267.6554812,11493779.4551296,92407404.7690207,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5498",NA,"5498","452563","2726946","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_68"," 11","ITS_3","Fusarium oxysporum","   5507",45356075.3656938,36017087.1339206,56042222.6100149,"OK","bayesian Eukaryota","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_69"," 11","ITS_3","Ascobolus stercorarius"," 255055",62623076.9837579,28129533.0693098,128909286.829339,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","255055","255055","5190","5189","5185","147549","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_70"," 10","ITS_3","Chaetomiaceae sp.","1756124",34627791.2411101,22074050.458936,53727633.8508966,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1756124","1756124",NA,"35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_71"," 10","ITS_3","Lectera colletotrichoides","1208925",39076095.6346883,22748697.1502171,60176621.6643971,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1208925","1208925","1208924","1033978","1028384","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_72","  9","ITS_3","Mucor sp.","1715236",41787617.7578977,27212685.3872343,58550013.2050846,"OK","bayesian Eukaryota","1715236","1715236","4830","34489","4827","2212703","1913637","2759","33154","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_73","  9","ITS_3","Fusarium tricinctum species complex"," 679429",45292365.4255034,36672926.8626565,55399736.0117488,"OK","bayesian Eukaryota","679429",NA,"5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_74","  9","ITS_3","Linnemannia elongata"," 310910",42474811.5102507,22484609.8997619,70859156.3929381,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","310910","310910","2779861","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_75","  8","ITS_3","Trichoderma sp.","1715253",37632130.2441278,29850393.1749192,46549391.8820262,"OK","bayesian Eukaryota","1715253","1715253","5543","5129","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_76","  8","ITS_3","Gaeumannomyces","  29849",41433034.4933234,31253248.0799787,54398808.2620962,"OK","bayesian Eukaryota","29849",NA,"29849","81093","639021","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_77","  7","ITS_3","Mortierella sp.","1715235",42488283.1500896,22952417.9689216,74752214.4214981,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1715235","1715235","4855","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_78","  7","ITS_3","Entomortierella beljakovae"," 979673",43133877.0087334,23017453.0149781,76780409.8041006,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","979673","979673","2779859","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
